4000 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4050 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4100 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4150 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4200 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4250 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4300 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4350 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4400 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4450 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4500 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4550 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4600 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4650 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4700 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4750 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4800 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4850 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4900 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
4950 0 1 3 2 5 4 7 6 8 9 11 10 13 12 14 15
5000 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5050 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5100 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5150 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5200 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5250 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5300 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5350 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5400 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5450 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5500 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5550 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5600 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5650 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
5700 0 1 3 2 5 4 6 7 9 8 10 11 12 13 14 15
